Done By,Document Name,Document Date,Document Type,Document Source,Document Location,Street Address,City,Province,Postal Code,Price,Listing ID,Property Type,Building Type,Storeys,Community Name,Title,Land Size Length,Land Size Length Unit,Land Size Width,Land Size Width Unit,Parking Type,Description,Amenities Nearby,Features,Parking Type,Total Parking Spaces,Basement Features,Basement Type,Bathrooms,Bedrooms Above Grade,Bedrooms Below Grade,Cooling,Exterior Finish,Heating Fuel,Heating Type,Style,Room Level,Room Type,Room Length,Room Length Unit,Room Width,Room Width Unit,Walk Score,Dependence,Realtor Name,Realtor Phone Number,Real Estate Company,Real Estate Address,Real Estate City,Real Estate Province,Real Estate Postal Code,Real Estate Phone Number,Real Estae Fax Number
Robin Wilke,C4000662,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15425359,,81 ANATAPI LN SW,"Springbank Hill, Calgary",AB,T3H4G2,"$6,900,000.00",C4000662,Single Family,House,2,Springbank Hill,Freehold,IRR,,45.71,m,"Attached garage, Tandem","Located within the city, this magnificent gated estate sits on a 2 acre parcel on the crest of Anatapi Lane, offering both privacy and views of the valley and mountains. No expense has been spared on the construction and finishing. A full stone exterior, triple glazed windows + superior insulation make it amazingly efficient to operate. All the rooms are spacious and beautifully proportioned, with opportunities for casual family living and grand entertaining. Beautiful kitchen blends rustic elegance with modern convenience. Private master suite with sitting room, spa inspired bathroom and spacious dressing room. A few of the inclusions; media system, lighting system, security system (incl cameras), club quality indoor pool, steam room, full bar, tennis court, huge garage designed for multiple lifts (1 included) and professional landscaping that blends in with the indigenous Aspen forest setting. A rare opportunity to have country living in the city...walking distance to Aspen Landing shops and services.
","Shopping, Schools","Private setting, Treed, No back lane, Built-in wall unit, Environmental reserve","Attached garage, Tandem",,Walk out,Full (Finished),7,4,1,Central air conditioning,"Stone, Stucco, Wood",,"Forced air, Radiant heat",Detached,"Upper level
Upper level
Upper level
Upper level
Upper level
Upper level
Upper level
Lower level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Bedroom
Other
Den
Laundry room
Bedroom
Living room
Kitchen
Dining room
Office
Other
Conservatory
Great room
","7.47
6.3
4.67
6.15
6.07
4.85
4.17
6.1
8.05
7.62
5.92
6.17
4.09
6.91
8.64
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
","4.24
4.62
3.38
3.96
4.09
4.01
3.66
4.44
6.1
6.07
3.56
5.64
3.02
6.1
8.81
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
",10,Car-Dependent,"Gizella Davis
John A McNeill",403-249-4322,Royal LePage Foothills,"200, 1016 68 Avenue SW",Calgary,AB,T2V4J2,403-249-4322,403-252-2653
Robin Wilke,C4000958,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15462039,,4208 BRITANNIA DR SW,4208 BRITANNIA DR SW,AB,T2S1J3,"$4,450,000.00",C4000958,Single Family,House,2,Britannia,Freehold,58.48,m,22.7,m,Attached garage (3),"Welcome to one of the largest South backing lots on Britannia Drive, with excellent CITY VIEWS and a PRIVATE TREED LOT! This spacious, contemporary 2 Storey home offers over 5,500 sqft of Living Space, with over 4,000 sqft above grade, designed for PRIVACY while still capturing the City Skyline from many rooms. SERENITY in your PARK-LIKE YARD - surrounded by mature trees, you will enjoy the outdoor living spaces: outdoor Dining & BBQ separate from the outside Living Room with gas Fireplace and courtyard; patio heated to access the hottub in the winter. Triple Attached Garage is infloor heated, as is the drive. Lots of room for Lifts if desired! Many interior design details that make daily living functional, great layout for entertaining. 3 bedrooms + Bonus Room up, with observation deck off Bonus Room. Still time to make some selections!! Photos are from a similar project, not exactly as shown.
","Shopping, Public Transit, Schools, Golf Course, Park","Treed, Sloping, Back lane, Park/reserve, Wood windows, No Animal Home, No Smoking Home, Skylight, Built-in wall unit",Attached garage (3),,,Full (Finished),3,3,1,Central air conditioning,"Stone, Stucco",,"Forced air, Radiant heat",Detached,"Upper level
Upper level
Upper level
Upper level
Upper level
Lower level
Lower level
Lower level
Lower level
Lower level
Main level
Main level
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Bonus room
Laundry room
Bedroom
Family room
Games room
Other
Storage
Kitchen
Dining room
Great room
Office
Other
Other
","5.49
4.67
4.42
4.57
3.86
4.32
6.12
6.15
3.63
3.71
6.43
3.96
5.84
4.42
3.2
3.81
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
","4.62
3.86
4.01
4.57
2.72
4.11
5.94
3.99
2.49
3.1
6.25
5.33
5.03
4.27
2.44
2.79
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
m
",53,Somewhat Walkable,Phil H Lepage,403-259-4141,RE/MAX Realty Professionals,"#10, 6020 - 1A Street SW",Calgary,AB,T2H0G3,403-259-4141,403-259-4305
Robin Wilke,C4001601,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15430164,,4248 BRITANNIA DR SW,Calgary,AB,T2s!j3,"$4,995,000.00",C4001601,Single Family,House,2,Britannia,Freehold,38.7,m,16.7,m,"Attached garage, Oversize","Stunning Contemporary Home by Insignia Developments and Paul Lavoie Interior Design on the last remaining south west corner lot on Britannia Drive. Home price includes art by Michelle Hoogveld, Stephanie Hoogveld and Daniel Culcea. On June 18, 2015 from 5-9 this home will be open for viewing.","Shopping, Public Transit, Schools, Golf Course, Park, Playground","Private setting, Treed, Corner Site, Back lane, Park/reserve, Balcony, Built-in wall unit, Flat","Attached garage, Oversize",,,Full (Finished),6,4,1,"Central air conditioning, Fully air conditioned","Stone, Stucco",,"Forced air, Hot water radiator heat",Detached,"Upper level
Upper level
Upper level
Upper level
Upper level
Lower level
Lower level
Lower level
Main level
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Bedroom
Laundry room
Bedroom
Games room
Recreation room
Family room
Kitchen
Dining room
Den
Breakfast
","6.1
3.66
4.27
4.27
2.44
3.66
3.66
6.1
6.71
6.1
5.49
6.1
4.88
","m
m
m
m
m
m
m
m
m
m
m
m
m
","4.88
3.35
3.66
3.66
1.83
3.66
3.66
6.1
5.49
3.66
4.27
4.88
3.66
","m
m
m
m
m
m
m
m
m
m
m
m
m
",27,Car-Dependent,"Greg Ramage
Trevor Ramage","-
403-270-7007",RE/MAX Real Estate (Central),"206, 2411 - 4 Street NW",Calgary,AB,T2M2Z8,403-216-1600,403-284-4923
Robin Wilke,C4006332,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15534535,,18 SUmmit Point Dr,Heritage Point,AB,T0L0X0,"$4,185,000.00",C4006332,Single Family,House,1,,condominium/ Strata,IRR,,33,m,"Attached garage, Oversize","Bold in stature, staring out across the Heritage Pointe Golf course, none assuming from the street positioned at the end of a fingerlet from the cul-de-sac, this custom post and beam home floods its open space design through 14 skylights and massive windows. Visitors are awed by two large granite islands squaring off against each other, serving a nook, casual dining or outdoor kitchen, on one of three decks. All five bedrooms are ensuited, two with their own private entrances, one with its own spiral staircase, library room & fireplace and the stately master with island fireplace, private den and sitting area. A large flared staircase opens to the lower receiving area providing guests a choice to the multi tiered theatre or party room with large elbow bar and dance floor, the saloon room, as it has become known, still reverberates with country music. On a quieter note slip inside the wine room and select your favorite glass to be enjoyed in the sipping area. Entertainment is not an option. Spectacular private setting situated at Heritage Pointe Golf Course. This home and property is truly one of a kind.","Shopping, Golf Course","Private setting, No Smoking Home, Skylight, Built-in wall unit, Flat","Attached garage, Oversize",,Walk out,Unknown (Finished),7,3,2,Central air conditioning,"Stone, Stucco",,"Forced air, Radiant heat",Detached,"Upper level
Lower level
Lower level
Lower level
Lower level
Lower level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
","Bedroom
Bedroom
Bedroom
Recreation room
Media
Den
Master bedroom
Bedroom
Family room
Kitchen
Dining room
Great room
Den
Other
","9.35
5.11
6.45
10.11
7.72
4.8
6.63
4.04
5.71
6.6
6.05
5.99
4.65
5.08
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
","3.48
4.39
4.34
9.22
6.17
4.67
4.6
3.66
4.78
5.99
4.65
5.87
3.94
3.02
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
",7,Car-Dependent,"Marianna Kindrachuk
Don E Blocka","403-254-5315
403-254-5315",Sotheby's International Realty Canada,"290, 815 - 17 Avenue SW",Calgary,AB,T2T0A1,403-254-5315,403-244-5315
Robin Wilke,C4006483,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15557649,,509 Riverdale Ave SW,Calgary,AB,T2S0X9,"$4,250,000.00",C4006483,Single Family,House,3,Elboya,Freehold,119.9,m,23.77,m,Detached garage (3),"Impressive Executive home built on a 75' lot with views of the river valley & downtown. Designed/built by Mike Holmes, this home capitalizes on green construction & a masterpiece of interior design. Live in your own private retreat with natural light from the large windows, natural stone & other green outdoor influences captivating you in a mix of zen and modern design. Entertain in your dream kitchen with 2 ovens, 2 dishwashers, & numerous luxuries. The stunning main floor is completed by impressive floor to ceiling windows conveying natural light. Green live wall greets you as the enter the home & three bio flame fireplaces cultivate a cozy ambiance. 3rd floor hosts a spacious master suite with 5 pce. ensuite & walk in closet with adjoining private den & sliding balcony doors to deck. 3 kids bedrooms, 2 baths, gym, laundry complete the second level. Basement features a cinema worthy media room, nanny's quarters, craft room, sauna & rec room. View the virtual tour! Also included are the following: security cameras both inside and out, herb fridge, 2 SubZero wine fridges, drying cabinet, BBQ, garage door opener with 2 remotes, warming drawer, Projector in basement and the receivers and audio equipment.All televisions are negotiable.The home features 3 Bio Flame fireplaces. Solar panels are leased from Enmax for $18/month
","Shopping, Schools","Treed, Back lane, No Smoking Home, Built-in wall unit, Flat",Detached garage (3),,,Full (Finished),5,4,1,,Stone,,Radiant heat,Detached,"Upper level
Upper level
Upper level
Upper level
Upper level
Upper level
Basement
Basement
Basement
Basement
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Bedroom
Laundry room
Office
Bedroom
Family room
Utility room
Recreation room
Living room
Kitchen
Dining room
Den
","4.62
4.72
4.55
4.55
4.39
6.65
4.62
6.98
8.1
11.63
5.46
5.03
4.55
2.95
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
","3.58
3.78
3.17
3.25
2.18
3.45
3.78
4.93
2.57
3.61
5.16
5.03
4.44
2.49
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
",49,Car-Dependent,Tanya Eklund,403-863-7434,RE/MAX Real Estate (Central),"206, 2411 - 4 Street NW",Calgary,AB,T2M2Z8,403-216-1600,403-284-4923
Robin Wilke,C4006709,6/2/2015,PDF,http://www.realtor.ca/Residential/Single-Family/15576456/200-5051-HWY-549-Rural-Foot...,,200 5051 HWY 549,"Rural Foothills M.D.,",AB,T1S1A4,"$4,299,000.00",C4006709,Single Family,House,1.5,,Freehold,159.38,Acres,,,"Attached garage, RV","Welcome to this remarkable property located in Sheep River Valley of the Rural Foothills by Okotoks. Enjoy the panoramic views over the fresh spring creek as you sit in the living room cozied up to the wood burning fireplace of this beautiful home. The charming 4 bedroom 5 bath, 4923 sq ft home also features kitchen with updated appliances, living room, den, office and fully developed basement for all your family needs. Nature is at its best with a completely private yard featuring a lush array of trees, plants & shrubs, patio, green house and 60' x 30' barn, with storage area is big enough for a tractor or horses. Beyond the creek is approximately 70 acres by the Sheep River bank, being used as pasture.
",,Treed,"Attached garage, RV",,,,5,4,,,Wood,,Forced air,Detached,"Upper level
Upper level
Upper level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
","Bedroom
Bonus room
Office
Master bedroom
Bedroom
Bedroom
Family room
Living room
Kitchen
Dining room
Den
","10.08
17.78
13.11
14.27
15.49
11
11.1
15.09
16.18
15.09
13.28
","m
m
m
m
m
m
m
m
m
m
m
","11.68
16.89
14.88
14.68
9.09
15.98
16.89
12.88
11.99
9.88
14.1
","m
m
m
m
m
m
m
m
m
m
m
",0,Car-Dependent,Mark Evernden,403-829-3776,Engel & Volkers Calgary,"140 - 215, 9 Avenue SW",Calgary,AB,T2P1K3,587-387-2228,403-698-7521
Robin Wilke,C4006818,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15562693,,7H Ranch Hwy 579,Rural Mountain View County,AB,T0M2E0,"$6,000,000.00",C4006818,Single Family,House,1.5,,Freehold,129.504,hec,,,Carport (1),"Attention Developers with a vision to take this unique parcel w/ unlimited potential & create a rural development that allows this beautiful property to be enjoyed & utilized to its full potential, under 1hr from Calgary! Set in the heart of some of the most scenic countryside in Alberta, this Land package includes 320Acres Deeded Land,2 Grazing Leases offering 3762 Acres & additional income from 8 Surface leases. This 1/2 section of Deeded land is one of few Direct Control Zoning parcels left in MVC, allowing variety of options: owner has plans for Housing Development w/ Golf course,RV park,Recreational Community w/ direct access to grazing lease land, Little RedDeer River flows along South boundary,gently rolling landscape w/ open pastures, old forested areas, natural springs, this land package has it all! Sharing this beautiful land is a fully serviced site w/ 5 Bdrm newly renovated Home,2 Barns,Storage Building & wood cabin. Option to purchase additional adjoining Grazing & Deeded land MLS# C40068
","Shopping, School","Treed, Rolling",Carport (1),,,Full (Finished),2,1,,,Wood,,Forced air,Detached,"Main level
Main level
Main level
Main level
","Master bedroom
Living room
Kitchen
Dining room
","5.36
6.83
2.74
4.57
","m
m
m
m
","4.88
5.89
5.49
3.48
","m
m
m
m
",0,Car-Dependent,Debbie P Ashcroft,403-837-3317,Sutton Group - Canwest,"242, 755 Lake Bonavista Dr SE",Calgary,AB,T2J0N3,403-278-9208,403-278-9020
Robin Wilke,C4007280,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15562665,,#1400 135 26 Ave SW,Calgary,AB,T2S0M2,"$8,389,500.00",C4007280,Single Family,Apartment,1,Mission,condominium/ Strata,,,,,"Indoor (2), Parking Space(s), Underground","Ready this Fall - This rare sub-penthouse located on the 14th fl is the largest residence remaining. With more than 5,100 sq ft of indoor living area, this 2 bdrm & study home has been thoughtfully planned. This residence offers the only opportunity to own a home that encompasses an entire floor, & with it, a home surrounded by spectacular views. All windows are triple-paned for energy-efficiency and comfort. The secure, private elevator access opens to a large foyer. The chef's kitchen and formal dining area are designed for entertaining. The spacious media rm, with beautiful built-in custom cabinetry, offers stunning mountain views. The library offers views of downtown as does the second bdrm and balcony. Each bdrm has an ensuite bath, & master bdrm also features an expansive walk-in closet and custom-built cabinetry for extra storage. Two balconies offer almost 600 sq ft of space. Incredible location. Luxurious quality.
","Shopping, Public Transit, Schools, Golf Course, Playground","Low maintenance yard, Private setting, Treed, Handicap access, No back lane, Elevator, Balcony, No Animal Home, No Smoking Home, Built-in wall unit","Indoor (2), Parking Space(s), Underground",,,,3,3,0,"Central air conditioning, Fully air conditioned","Metal, See Remarks, Stone",,Baseboard heaters,Attached,"Main level
Main level
Main level
Main level
Main level
Main level","Master bedroom
Bedroom
Bedroom
Living room
Kitchen
Dining room","19
19
22
22
19.99
5.49","m
m
m
m
m
m","11
15.98
15.98
15.98
14
4.27","m
m
m
m
m
m",63,Somewhat Walkable,Anne Margaret Clarke,403-681-5213,Sotheby's International Realty Canada,"290, 815 - 17 Avenue SW",Calgary,AB,T2T0A1,403-254-5315,403-244-5315
Robin Wilke,C4008847,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15623319,,56 Uplands Way,Rural Rockyview County,AB,T3Z3N5,"$4,850,000.00",C4008847,Single Family,House,1.5,Uplands,Freehold,1.98,Acres,,,"Attached garage, Oversize","One of the finest locations in South Springbank, this 'Uplands' 2 storey walk-out is private & extremely well treed. Offering stunning panoramic mountain views this prestigious 2 acre estate is minutes from the city's edge. With 9,000 sq.ft. over 3 levels it was built with premium finishing details by master craftsmen. Solid wood front door & barrel vaulted entryway are stunning, the d̩cor is impressive but warm & inviting w/ wide plank hardwood flooring, antiqued dark stained cabinets, vaulted great room with a full height stone fireplace. Chef's kitchen w/dual islands & premium appliances, casual dining space, family room & butlers pantry. Formal dining, inviting den & spacious master suite w/luxurious en-suite & dressing room. Two large bedrooms on the upper floor, off the main living space & fully contained suite above the garage. Walk-out w/2 addn'l bedrms, gym, bar, wine room, entertaining/games, theater & music room. Expansive outdoor entertaining spaces, heated QUAD garage.
",Schools,"Private setting, Corner Site, Wood windows, No Animal Home, No Smoking Home, Built-in wall unit, Environmental reserve","Attached garage, Oversize",,Walk out,Full (Finished),7,4,2,,"Stone, Stucco",,"Forced air, Radiant heat",Detached,"Upper level
Upper level
Upper level
Lower level
Lower level
Lower level
Lower level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
","Bedroom
Bedroom
Bedroom
Bedroom
Bedroom
Recreation room
Games room
Master bedroom
Family room
Living room
Kitchen
Dining room
Breakfast
Den
","4.19
4.6
4.78
4.24
4.24
8.38
9.3
7.29
3.94
6.98
6.25
5.46
5.97
5.99
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
","3.89
4.19
3.89
4.24
4.24
6.3
5.38
5.99
3.94
6.38
4.6
4.55
4.75
4.24
","m
m
m
m
m
m
m
m
m
m
m
m
m
m
",0,Car-Dependent,"Lisa Tomalin-Reeves
Barb A Richardson","403-650-4353
403-613-8737",Sotheby's International Realty Canada,"290, 815 - 17 Avenue SW",Calgary,AB,T2T0A1,403-254-5315,403-244-5315
Robin Wilke,C4011862,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15739637,,850 Rideau Rd SW,Calgary,AB,T2S0R6,"$4,775,000.00",C4011862,Single Family,House,2,Rideau Park,Freehold,44.71,m,18.31,m,"Attached garage (2), Oversize","Inspiring Design & Amazing Views - One of Calgary's Finest Contemporary Inner City Residences Steps from the School, Park & River Paths. Enter a World of Windows & Skylights - Dramatic Ceilings, Gorgeous Feature Walls, & Exquisite Finishings on all 3 levels. Stunning European Designed Kitchen, Modern Dining Area, Huge Great Room, & Private Den. 5 Bedrooms ALL with Ensuite Baths including a DREAM Master Suite with Private Balcony & Dressing Area. Outstanding Lower Development with In-Floor Heat includes a Central Wet Bar, Media Area, Games Area, Fitness Room, Steam Spa, & ""Nanny or Guest Quarters"" (5th Bedroom with Ensuite). Take your Outdoor Living to the next level . . . Large Professionally Landscaped Yard with 7 Zone irrigation & Built-In Snow Melt system . . . Huge Deck with Built-in BBQ, Sink, Fridge, Fireplace, & Hot Tub . . . A Seamless Transition of Indoor & Outdoor Spaces - Truly a Dream Home!!!
","Shopping, Public Transit, Schools, Park, Playground","Park/reserve, Balcony, Skylight, Swirlpool bath (Jacuzzi), Built-in wall unit","Attached garage (2), Oversize",,,Full (Finished),7,4,1,Central air conditioning,"Cedar Siding, Stone, Stucco",,"Forced air, Radiant heat",Detached,"Upper level
Upper level
Upper level
Upper level
Upper level
Lower level
Lower level
Lower level
Lower level
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Bedroom
Laundry room
Bedroom
Games room
Other
Media
Kitchen
Dining room
Den
Great room
","5.31
4.17
4.24
4.6
1.96
5.51
7.09
6.58
7.32
7.29
6.63
4.39
8.15
","m
m
m
m
m
m
m
m
m
m
m
m
m
","3.94
3.25
3.76
4.06
1.83
4.17
6.83
3.35
6.83
3.23
4.14
4.14
6.88
","m
m
m
m
m
m
m
m
m
m
m
m
m
",59,Somewhat Walkable,"Ellyn Mendham
Tom Westcott","403-259-4141
403-259-4141",RE/MAX Realty Professionals,"#10, 6020 - 1A Street SW",Calgary,AB,T2H0G3,403-259-4141,403-259-4305
Robin Wilke,C4012236,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15677882,,232152 Ridge Rd 52,Rural Rockyview County,AB,O0O0O0,"$5,000,000.00",C4012236,Single Family,House,1,,Freehold,129.504,hec,,,Carport (2),"THE ULTIMATE RETREAT!! Located 30 minutes West of Downtown Calgary lies a Spectacular Mountain View, forested retreat with a 3500 sq. ft. Heritage Log Home on 320 ACRES or Pristine Foothills Landscape. This magnificent ranch has been in the same family for more than 60 years. The ranch and its many trails include hunting, hiking the mountain ridges, cross country skiing, mountain biking, horseback riding, skating, wildlife and landscape photography and nearby trout fishing in the Elbow River. The white cedar log home features a chefs kitchen, family room with fireplace, spacious dining room, great room with floor to ceiling Waterton river rock fireplace, 3 bedrooms to sleep 10, 3 minutes to Bragg Creek for its many restaurants. No 2013 floods.
",,"Low maintenance yard, Private setting, Treed, Rolling",Carport (2),,,Dugout (Unknown),3,3,,,Log,,Forced air,Detached,"Main level
Main level
Main level
Main level
Main level
Main level
Main level
Main level
","Master bedroom
Bedroom
Bedroom
Living room
Kitchen
Dining room
Laundry room
Porch
","4.04
3.15
3.28
7.62
3.63
3.63
1.68
2.72
","m
m
m
m
m
m
m
m
","6.81
6.1
6.1
8.23
8.51
8.51
3.05
3.05
","m
m
m
m
m
m
m
m
",0,Car-Dependent,Barry Harvey Green,403-807-7839,Royal LePage Foothills,PO Box 27,Okotoks,AB,T1S1A4,403-938-4078,403-938-5269
Robin Wilke,C4014364,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15735036,,243019 Morgans Rd,Rural Rockyview County,AB,T3Z0A6,"$4,375,000.00",C4014364,Single Family,House,2,Morgans Rise,Freehold,2,Acres,,,"Attached garage, Oversize, RV","This magnificent home is set on 2 acres with beautiful mountain views in the award winning Springbank community of Morgans Rise. Al McDowell of McDowell & associates personally designed this ""Mountain Vernacular"" masterpiece that includes extensive timber framing And frontier sandstone masonry throughout. The All Star interior design teams spared no expense when creating over 8075 SQ. FT. of beautifully designed living & entertaining space. The Custom designed millwork in this house is truly breathtaking and was crafted onsite over 8 months by team of master millworkers. For ease of living & peace of mind for the home owner and family, All media, lighting, security cameras, HVAC etc; is controlled by a fully integrated AMX Smart Home touch panels that can be securely accessed from anywhere in the world. Vacation mode that memorizes and relays living patterns as well wake up mode, are features that must be seen. This has to be viewed to appreciate the attention to details and craftsmanship. $50,000 ALLOWED FOR LANDSCAPE
","Shopping, Schools, Golf Course, Park, Playground","Low maintenance yard, Treed, No back lane, Park/reserve, No Smoking Home, Environmental reserve, Flat","Attached garage, Oversize, RV",,Walk out,Full (Finished),6,5,,,"Asphalt, Stone, Stucco, Wood",,"Forced air, Hot water radiator heat, Radiant heat, Not known",Detached,,,,,,,0,Car-Dependent,Karl Nagra,403-383-7319,Tehra Real Estate,243019 Morgans Rd,Calgary,AB,T3Z0A6,587-350-5353,587-350-7447
Robin Wilke,E3313697,6/2/2015,PDF,http://www.realtor.ca/Residential/Single-Family/12359603/125-Forestry-RD-Red-Earth-Cre...,,125 Forestry Rd,Red Earth Creek,AB,T0G1X0,"$4,000,000.00",E3313697,Single Family,House,1,Red Earth Creek,Freehold,,,,,Detached garage,"Taking unique to a whole new level there are not enough words to describe this property. While zoned residential, this property has an income of over 300 thou per year. There are five houses all currently rented out, 4 bay shop, office building, 5 to 7 man oil camp, RV parking, fresh water pond, massive sewage lagoon, Centrally located in Red Earth Creek close to local airfield. In the heart of oil country with loads of potential. 71 acres in total to use your imagination and increase your income.",,No services,Detached garage,4,,,2,,,,,Natural gas,Forced air,Detached,,,,,,,0,Car-Dependent,Shelagh J Brennan,780-265-2506,Sutton Premiere Real Estate,2004 Sherwood Dr,Sherwood Park,AB,T8A1Z0,780-416-0737,780-417-9055
Robin Wilke,E3366096,6/2/2015,PDF,http://www.realtor.ca/Residential/Single-Family/14179433/53-Riverridge-RD-Rural-Sturge...,,53 Riverridge Rd,Rural Sturgeon County,AB,T8T0B9,"$4,400,000.00",E3366096,Single Family,House,1,Riverstone Pointe,,0.72,Acres,,,"Detached garage, Oversize","Wow! Wow! Wow! This Audie Benson Estate Homes showhome is the grandest of the grand! 7100 sq ft of luxury living on .72 acres of gorgeous river valley views in prestigious Riverstone Pointe, minutes out of St. Albert & to the Anthony Henday. The front street appeal is unsurpassed w/it's drive through portion,, natural iron stone, copper chimneys & capolas & iron security gate. Step across the threshold into an elegant foyer w/views of the Great Room boasting 20' open vaulted cherry ceilings, an exquisite formal dining room & a music room w/wall-to-wall & floor to ceiling library complete w/a sliding ladder. The den is perfectly situated off the luxurious master suite & library. This magnificent walkout bungalow boasts awards for best kitchen & best ensuite in North America. All main floor living space accesses the south backing upper patio, viewing double waterfalls, bridges & rose gardens. The lower level includes a gathering room, games room, theatre, old world wine cellar, fitness room w/massage area.
",Golf course,"Acreage, Private setting, Wood windows, Closet Organizers, Exterior Walls- 2x6"", No Smoking Home, Silent Floor Joists, Built-in wall unit, Environmental reserve","Detached garage, Oversize",,,full (Finished),5,,,Central air conditioning,,,,Detached,,,,,,,0,Car-Dependent,Becky L Benson,780-905-8690,Royal LePage Arteam Realty,14027 127 St,Edmonton,AB,T6V1E7,780-456-5656,780-456-5657
Robin Wilke,E3391551,6/2/2015,PDF,http://www.realtor.ca/Residential/Single-Family/14942975/50362-Range-Rd-244-Rural-Led...,,50362 Range Rd 244,Rural Leduc County,AB,T4X0N9,"$4,000,000.00",E3391551,Single Family,House,1,,,79,Acres,,,Attached garage,"80 acre parcel on Nisku Road and Range Rd. 244. 2600 sq.ft bungalow built in 2008 with 3 large bedrooms, family room and open kitchen, nook and living room with extra high ceilings! Granite countertops, top quality cherry wood cabinets and stainless steel appliances. Full height stacked limestone wall with gas fireplace. The large shop has a mezzanine with offices. The mobile home is about 15 years old and 1000 sq.ft. and is currently rented. City water to both homes and a tank and field septic system for each. Approx. 40 acres rented and seeded in canola.
",,Level,Attached garage,,,Crawl space,2,,,,,,,Detached,,,,,,,0,Car-Dependent,Bailey L Monks,780-239-0293,RE/MAX River City,301 10171 Saskatchewan Dr,Edmonton,AB,T6E4R5,780-439-7000,780-439-7248
Robin Wilke,E3402091,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15306167,,484 52304 RR 233 Rd,Rural Strathcona County,AB,T8B1C9,"$5,900,000.00",E3402091,Single Family,House,2,FOUNTAIN CREEK ESTATES,,0.1821,hec,,,Attached garage,"Nothing short of spectacular, 9.450 square foot custom crafted two storey with an additional 4,230 square feet in the stunning walkout lower level. From one of the grandest foyers and staircases in Edmonton and area to the custom kitchen with every top end built-in imaginable and massive granite islands. An absolutely stunning master suite with dream closets. The upper level 2 children's and guest quarters each offer ensuite baths. Features of this home include heated floors throughout, 3 gas fireplaces, wet bar and wine cellar, theatre room, 11 TVs, total of 10 bathrooms (3 with steam, 2 jetted tubs), elevator. For the entertainer, the custom built dining room table even stays. Home is serviced with 4 furnaces, in floor heat, and 4 central air conditioners. Oversize, heated, 4 car garage includes a doggie shower. This estate home is situated on a .45 acre professionally landscaped lot with city view. With 13,680 sq.ft. of luxurious living space, this is one of Sherwood Park/Edmonton's finest homes!!
",,"Acreage, Exterior Walls- 2x6"", No Smoking Home, Swirlpool bath (Jacuzzi)",Attached garage,,,,10,5 total,,Central air conditioning,,,,Detached,,,,,,,0,Car-Dependent,Wayne T Ogloff,780-446-1750,Re/Max Elite,116 150 CHippewa Rd,Sherwood Park,AB,T8A6A2,780-464-4100,780-467-2897
Robin Wilke,F1418810,6/2/2015,PDF,http://www.realtor.ca/Residential/Single-Family/14728807/18279-24TH-AV-Surrey-British...,,18279 24th Ave,Surrey,BC,V3S9V2,"$4,750,000.00",F1418810,Single Family,House,2,,Freehold,217880,sq ft,,,Garage,5 acres designated Row 15 (townhouse) in Redwood Heights NCP 4. Stage 1 of NCP approved and stage 2 underway with approval expected in Summer 2015. Must be sold in conjunction with 18333 24th Ave (MLS F1418808) and 2514 180th Street (MLS F1418678) for a total of 35.08 continuous acres.,,Private setting,Garage,,,None,3,,,,,,,Detached,,,,,,,4,Car-Dependent,Brad Lambert,604-538-2125,Royal LePage Northstar,"#118, 15272 Croydon Dr S",Surrey,BC,V3Z0Z5,604-538-2125,604-538-8633
